,prompts,prompt_intent,word_entities
18,will you please add the song mirror temple jazz cover to my tks playlist,0,"[6, 6, 6, 0, 0, 0, 7, 7, 7, 7, 0, 0, 5, 0]"
19,"can't you just put we've never met but, can we have a coffee or something? into my random good songs playlist",0,"[6, 6, 6, 0, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 0, 0, 5, 5, 5, 0]"
20,can you put you saw it coming into my peaceful playlist,0,"[6, 6, 0, 7, 7, 7, 7, 0, 0, 5, 0]"
21,it would be nice if you could please add the song pixel galaxy to my work playlist,0,"[6, 6, 6, 6, 6, 6, 6, 6, 0, 0, 0, 7, 7, 0, 0, 5, 0]"
22,will you please put the superb mario melody into my dance playlist,0,"[6, 6, 6, 0, 7, 7, 7, 7, 0, 0, 5, 0]"
23,"can you add the song we've never met but, can we have a coffee or something? to my aesthetic playlist",0,"[6, 6, 0, 0, 0, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 0, 0, 5, 0]"
24,add the song you saw it coming to my aesthetic playlist,0,"[0, 0, 0, 7, 7, 7, 7, 0, 0, 5, 0]"
25,add the song passion to my morning playlist,0,"[0, 0, 0, 7, 0, 0, 5, 0]"
26,would you please put the superb mario melody into my game time playlist,0,"[6, 6, 6, 0, 7, 7, 7, 7, 0, 0, 5, 5, 0]"
27,can you add the song the superb mario melody to my random good songs playlist,0,"[6, 6, 0, 0, 0, 7, 7, 7, 7, 0, 0, 5, 5, 5, 0]"
28,it would be nice if you could please put the song silksong piano cover into tks,0,"[6, 6, 6, 6, 6, 6, 6, 6, 0, 0, 0, 7, 7, 7, 0, 5]"
29,can you add the song megalovania to my game time playlist,0,"[6, 6, 0, 0, 0, 7, 0, 0, 5, 5, 0]"
30,it would be nice if you could please save this song to my game time playlist,0,"[6, 6, 6, 6, 6, 6, 6, 6, 0, 0, 0, 0, 0, 5, 5, 0]"
31,can't you just put megalovania into my cleaning playlist,0,"[6, 6, 6, 0, 7, 0, 0, 5, 0]"
32,add the song duck tails to my game time playlist,0,"[0, 0, 0, 7, 7, 0, 0, 5, 5, 0]"
33,will you please add the song hopes and dreams to my night playlist,0,"[6, 6, 6, 0, 0, 0, 7, 7, 7, 0, 0, 5, 0]"
34,can't you just add the song duck tails to my beat saber playlist,0,"[6, 6, 6, 0, 0, 0, 7, 7, 0, 0, 5, 5, 0]"
35,will you please save this song to my game time playlist,0,"[6, 6, 6, 0, 0, 0, 0, 0, 5, 5, 0]"
36,i really want you to put hopes and dreams into my morning playlist,0,"[6, 6, 6, 6, 6, 0, 7, 7, 7, 0, 0, 5, 0]"
37,for goodness sake just put the song toss a coin to your witcher into relaxing,0,"[6, 6, 6, 6, 0, 0, 0, 7, 7, 7, 7, 7, 7, 0, 5]"
38,add the song sweden minecraft cover to my relaxing playlist,0,"[0, 0, 0, 7, 7, 7, 0, 0, 5, 0]"
39,add the song i secretly love u to my aesthetic playlist,0,"[0, 0, 0, 7, 7, 7, 7, 0, 0, 5, 0]"
40,can you put hopes and dreams into my dance playlist,0,"[6, 6, 0, 7, 7, 7, 0, 0, 5, 0]"
41,will you please put i secretly love u into my game time playlist,0,"[6, 6, 6, 0, 7, 7, 7, 7, 0, 0, 5, 5, 0]"
42,i really want you to put the song mirror temple jazz cover into relaxing,0,"[6, 6, 6, 6, 6, 0, 0, 0, 7, 7, 7, 7, 0, 5]"
43,it'd be great if you could add the song undyne the undying to my songs about space playlist,0,"[6, 6, 6, 6, 6, 6, 0, 0, 0, 7, 7, 7, 0, 0, 5, 5, 5, 0]"
44,please add the song undyne the undying to my cleaning playlist,0,"[6, 0, 0, 0, 7, 7, 7, 0, 0, 5, 0]"
45,will you please add the song raise your blades to my tks playlist,0,"[6, 6, 6, 0, 0, 0, 7, 7, 7, 0, 0, 5, 0]"
46,can't you just add the song toss a coin to your witcher to my dance playlist,0,"[6, 6, 6, 0, 0, 0, 7, 7, 7, 7, 7, 7, 0, 0, 5, 0]"
47,will you please put the song toss a coin to your witcher into workout,0,"[6, 6, 6, 0, 0, 0, 7, 7, 7, 7, 7, 7, 0, 5]"
48,i really want you to put how to train your dragon main theme into my aesthetic playlist,0,"[6, 6, 6, 6, 6, 0, 7, 7, 7, 7, 7, 7, 7, 0, 0, 5, 0]"
49,would you please put journy piano cover into my movie soundtracks playlist,0,"[6, 6, 6, 0, 7, 7, 7, 0, 0, 5, 5, 0]"
50,can't you just put the song silksong piano cover into random good songs,0,"[6, 6, 6, 0, 0, 0, 7, 7, 7, 0, 5, 5, 5]"
51,please put hopes and dreams into my work playlist,0,"[6, 0, 7, 7, 7, 0, 0, 5, 0]"
52,for goodness sake just add the song i secretly love u to my random good songs playlist,0,"[6, 6, 6, 6, 0, 0, 0, 7, 7, 7, 7, 0, 0, 5, 5, 5, 0]"
53,for goodness sake just put pixel galaxy into my old fashioned playlist,0,"[6, 6, 6, 6, 0, 7, 7, 0, 0, 5, 5, 0]"
54,please add the song how to train your dragon main theme to my movie soundtracks playlist,0,"[6, 0, 0, 0, 7, 7, 7, 7, 7, 7, 7, 0, 0, 5, 5, 0]"
55,it'd be great if you could add the song silksong piano cover to my favorites playlist,0,"[6, 6, 6, 6, 6, 6, 0, 0, 0, 7, 7, 7, 0, 0, 5, 0]"
56,it would be nice if you could please put the queen's gambit into my morning playlist,0,"[6, 6, 6, 6, 6, 6, 6, 6, 0, 7, 7, 7, 0, 0, 5, 0]"
57,it'd be great if you could put the song how to train your dragon main theme into morning,0,"[6, 6, 6, 6, 6, 6, 0, 0, 0, 7, 7, 7, 7, 7, 7, 7, 0, 5]"
58,would you please add the song hopes and dreams to my aesthetic playlist,0,"[6, 6, 6, 0, 0, 0, 7, 7, 7, 0, 0, 5, 0]"
59,can't you just add the song undyne the undying to my best songs playlist,0,"[6, 6, 6, 0, 0, 0, 7, 7, 7, 0, 0, 5, 5, 0]"
60,can you put the song how to train your dragon main theme into peaceful,0,"[6, 6, 0, 0, 0, 7, 7, 7, 7, 7, 7, 7, 0, 5]"
61,i really want you to put the song pixel galaxy into peaceful,0,"[6, 6, 6, 6, 6, 0, 0, 0, 7, 7, 0, 5]"
62,it would be nice if you could please put journy piano cover into my aesthetic playlist,0,"[6, 6, 6, 6, 6, 6, 6, 6, 0, 7, 7, 7, 0, 0, 5, 0]"
63,for goodness sake just add this to my natural playlist,0,"[6, 6, 6, 6, 0, 0, 0, 0, 5, 0]"
64,please add the song sweden minecraft cover to my natural playlist,0,"[6, 0, 0, 0, 7, 7, 7, 0, 0, 5, 0]"
65,it would be nice if you could please put the song isabella's lullaby orchestral cover into night,0,"[6, 6, 6, 6, 6, 6, 6, 6, 0, 0, 0, 7, 7, 7, 7, 0, 5]"
66,please put mirror temple jazz cover into my game time playlist,0,"[6, 0, 7, 7, 7, 7, 0, 0, 5, 5, 0]"
67,for goodness sake just add the song i secretly love u to my favorites playlist,0,"[6, 6, 6, 6, 0, 0, 0, 7, 7, 7, 7, 0, 0, 5, 0]"
68,would you please put the song mirror temple jazz cover into aesthetic,0,"[6, 6, 6, 0, 0, 0, 7, 7, 7, 7, 0, 5]"
69,for goodness sake just add the song hopes and dreams to my best songs playlist,0,"[6, 6, 6, 6, 0, 0, 0, 7, 7, 7, 0, 0, 5, 5, 0]"
70,for goodness sake just put the song passion into cleaning,0,"[6, 6, 6, 6, 0, 0, 0, 7, 0, 5]"
71,can't you just save this song to my relaxing playlist,0,"[6, 6, 6, 0, 0, 0, 0, 0, 5, 0]"
72,it would be nice if you could please put journy piano cover into my songs about space playlist,0,"[6, 6, 6, 6, 6, 6, 6, 6, 0, 7, 7, 7, 0, 0, 5, 5, 5, 0]"
73,it'd be great if you could put how to train your dragon main theme into my video game soundtracks playlist,0,"[6, 6, 6, 6, 6, 6, 0, 7, 7, 7, 7, 7, 7, 7, 0, 0, 5, 5, 5, 0]"
74,can you put raise your blades into my beat saber playlist,0,"[6, 6, 0, 7, 7, 7, 0, 0, 5, 5, 0]"
75,it'd be great if you could put i secretly love u into my video game soundtracks playlist,0,"[6, 6, 6, 6, 6, 6, 0, 7, 7, 7, 7, 0, 0, 5, 5, 5, 0]"
76,it'd be great if you could put raise your blades into my songs about space playlist,0,"[6, 6, 6, 6, 6, 6, 0, 7, 7, 7, 0, 0, 5, 5, 5, 0]"
77,can you put isabella's lullaby orchestral cover into my dance playlist,0,"[6, 6, 0, 7, 7, 7, 7, 0, 0, 5, 0]"
78,please add the song i'm still me to my best songs playlist,0,"[6, 0, 0, 0, 7, 7, 7, 0, 0, 5, 5, 0]"
79,can you add the song rainbow road to my work playlist,0,"[6, 6, 0, 0, 0, 7, 7, 0, 0, 5, 0]"
80,can't you just add the song mirror temple jazz cover to my songs about space playlist,0,"[6, 6, 6, 0, 0, 0, 7, 7, 7, 7, 0, 0, 5, 5, 5, 0]"
81,can't you just put you saw it coming into my tks playlist,0,"[6, 6, 6, 0, 7, 7, 7, 7, 0, 0, 5, 0]"
82,will you please put silksong piano cover into my favorites playlist,0,"[6, 6, 6, 0, 7, 7, 7, 0, 0, 5, 0]"
83,would you please put the song isabella's lullaby orchestral cover into work,0,"[6, 6, 6, 0, 0, 0, 7, 7, 7, 7, 0, 5]"
84,can you add the song how to train your dragon main theme to my game time playlist,0,"[6, 6, 0, 0, 0, 7, 7, 7, 7, 7, 7, 7, 0, 0, 5, 5, 0]"
85,would you please put the song isabella's lullaby orchestral cover into work,0,"[6, 6, 6, 0, 0, 0, 7, 7, 7, 7, 0, 5]"
86,i really want you to put sweden minecraft cover into my old fashioned playlist,0,"[6, 6, 6, 6, 6, 0, 7, 7, 7, 0, 0, 5, 5, 0]"
87,can't you just put undyne the undying into my aesthetic playlist,0,"[6, 6, 6, 0, 7, 7, 7, 0, 0, 5, 0]"
88,for goodness sake just put the song megalovania into work,0,"[6, 6, 6, 6, 0, 0, 0, 7, 0, 5]"
89,can you put the song undyne the undying into game time,0,"[6, 6, 0, 0, 0, 7, 7, 7, 0, 5, 5]"
90,would you please put i'm still me into my cleaning playlist,0,"[6, 6, 6, 0, 7, 7, 7, 0, 0, 5, 0]"
91,i really want you to add the song undyne the undying to my night playlist,0,"[6, 6, 6, 6, 6, 0, 0, 0, 7, 7, 7, 0, 0, 5, 0]"
92,please put how to train your dragon main theme into my relaxing playlist,0,"[6, 0, 7, 7, 7, 7, 7, 7, 7, 0, 0, 5, 0]"
93,please add the song i secretly love u to my cleaning playlist,0,"[6, 0, 0, 0, 7, 7, 7, 7, 0, 0, 5, 0]"
94,it'd be great if you could put the song mirror temple jazz cover into natural,0,"[6, 6, 6, 6, 6, 6, 0, 0, 0, 7, 7, 7, 7, 0, 5]"
95,would you please add the song isabella's lullaby orchestral cover to my movie soundtracks playlist,0,"[6, 6, 6, 0, 0, 0, 7, 7, 7, 7, 0, 0, 5, 5, 0]"
96,it would be nice if you could please add the song rainbow road to my morning playlist,0,"[6, 6, 6, 6, 6, 6, 6, 6, 0, 0, 0, 7, 7, 0, 0, 5, 0]"
97,can you put i'm still me into my movie soundtracks playlist,0,"[6, 6, 0, 7, 7, 7, 0, 0, 5, 5, 0]"
98,it'd be great if you could put the song rainbow road into beat saber,0,"[6, 6, 6, 6, 6, 6, 0, 0, 0, 7, 7, 0, 5, 5]"
99,put undyne the undying into my night playlist,0,"[0, 7, 7, 7, 0, 0, 5, 0]"
100,i really want you to put sweden minecraft cover into my old fashioned playlist,0,"[6, 6, 6, 6, 6, 0, 7, 7, 7, 0, 0, 5, 5, 0]"
101,put the song journy piano cover into best songs,0,"[0, 0, 0, 7, 7, 7, 0, 5, 5]"
102,i really want you to put the song pixel galaxy into favorites,0,"[6, 6, 6, 6, 6, 0, 0, 0, 7, 7, 0, 5]"
103,can you add sweden minecraft cover to my playlist,0,"[6, 6, 0, 7, 7, 7, 0, 0, 0]"
104,it would be nice if you could please put the song i'm still me into tks,0,"[6, 6, 6, 6, 6, 6, 6, 6, 0, 0, 0, 7, 7, 7, 0, 5]"
105,can you add the song pixel galaxy to my aesthetic playlist,0,"[6, 6, 0, 0, 0, 7, 7, 0, 0, 5, 0]"
106,please put the song i'm still me into workout,0,"[6, 0, 0, 0, 7, 7, 7, 0, 5]"
107,can't you just put the song megalovania into morning,0,"[6, 6, 6, 0, 0, 0, 7, 0, 5]"
108,for goodness sake just add the song how to train your dragon main theme to my natural playlist,0,"[6, 6, 6, 6, 0, 0, 0, 7, 7, 7, 7, 7, 7, 7, 0, 0, 5, 0]"
109,would you please put toss a coin to your witcher into my tks playlist,0,"[6, 6, 6, 0, 7, 7, 7, 7, 7, 7, 0, 0, 5, 0]"
110,i really want you to put sweden minecraft cover into my relaxing playlist,0,"[6, 6, 6, 6, 6, 0, 7, 7, 7, 0, 0, 5, 0]"
111,please add the song pixel galaxy to my random good songs playlist,0,"[6, 0, 0, 0, 7, 7, 0, 0, 5, 5, 5, 0]"
112,it would be nice if you could please add the song undyne the undying to my random good songs playlist,0,"[6, 6, 6, 6, 6, 6, 6, 6, 0, 0, 0, 7, 7, 7, 0, 0, 5, 5, 5, 0]"
113,i really want you to put mirror temple jazz cover into my dance playlist,0,"[6, 6, 6, 6, 6, 0, 7, 7, 7, 7, 0, 0, 5, 0]"
114,for goodness sake just put the song i secretly love u into tks,0,"[6, 6, 6, 6, 0, 0, 0, 7, 7, 7, 7, 0, 5]"
115,i really want you to add the song silksong piano cover to my work playlist,0,"[6, 6, 6, 6, 6, 0, 0, 0, 7, 7, 7, 0, 0, 5, 0]"
116,"would you please add the song we've never met but, can we have a coffee or something? to my morning playlist",0,"[6, 6, 6, 0, 0, 0, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 0, 0, 5, 0]"
117,please put the song i secretly love u into movie soundtracks,0,"[6, 0, 0, 0, 7, 7, 7, 7, 0, 5, 5]"
118,"it would be nice if you could please add the song we've never met but, can we have a coffee or something? to my dance playlist",0,"[6, 6, 6, 6, 6, 6, 6, 6, 0, 0, 0, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 0, 0, 5, 0]"
119,can't you just add the song duck tails to my old fashioned playlist,0,"[6, 6, 6, 0, 0, 0, 7, 7, 0, 0, 5, 5, 0]"
120,for goodness sake just add duck tails to my playlist,0,"[6, 6, 6, 6, 0, 7, 7, 0, 0, 0]"
121,for goodness sake just put the song i secretly love u into work,0,"[6, 6, 6, 6, 0, 0, 0, 7, 7, 7, 7, 0, 5]"
122,would you please add rainbow road to my playlist,0,"[6, 6, 6, 0, 7, 7, 0, 0, 0]"
123,it'd be great if you could save this song to my night playlist,0,"[6, 6, 6, 6, 6, 6, 0, 0, 0, 0, 0, 5, 0]"
124,put the song mirror temple jazz cover into dance,0,"[0, 0, 0, 7, 7, 7, 7, 0, 5]"
125,it would be nice if you could please put the song hopes and dreams into work,0,"[6, 6, 6, 6, 6, 6, 6, 6, 0, 0, 0, 7, 7, 7, 0, 5]"
126,please put duck tails into my favorites playlist,0,"[6, 0, 7, 7, 0, 0, 5, 0]"
127,will you please add the song raise your blades to my beat saber playlist,0,"[6, 6, 6, 0, 0, 0, 7, 7, 7, 0, 0, 5, 5, 0]"
128,i really want you to add the song duck tails to my best songs playlist,0,"[6, 6, 6, 6, 6, 0, 0, 0, 7, 7, 0, 0, 5, 5, 0]"
129,can you put undyne the undying into my relaxing playlist,0,"[6, 6, 0, 7, 7, 7, 0, 0, 5, 0]"
130,can't you just save this song to my best songs playlist,0,"[6, 6, 6, 0, 0, 0, 0, 0, 5, 5, 0]"
131,add the song passion to my game time playlist,0,"[0, 0, 0, 7, 0, 0, 5, 5, 0]"
132,it'd be great if you could put pixel galaxy into my cleaning playlist,0,"[6, 6, 6, 6, 6, 6, 0, 7, 7, 0, 0, 5, 0]"
133,would you please put the song mirror temple jazz cover into movie soundtracks,0,"[6, 6, 6, 0, 0, 0, 7, 7, 7, 7, 0, 5, 5]"
134,can't you just put undyne the undying into my best songs playlist,0,"[6, 6, 6, 0, 7, 7, 7, 0, 0, 5, 5, 0]"
135,will you please add the song the queen's gambit to my dance playlist,0,"[6, 6, 6, 0, 0, 0, 7, 7, 7, 0, 0, 5, 0]"
136,it would be nice if you could please put isabella's lullaby orchestral cover into my natural playlist,0,"[6, 6, 6, 6, 6, 6, 6, 6, 0, 7, 7, 7, 7, 0, 0, 5, 0]"
137,would you please put the song silksong piano cover into tks,0,"[6, 6, 6, 0, 0, 0, 7, 7, 7, 0, 5]"
138,i really want you to put the song the queen's gambit into aesthetic,0,"[6, 6, 6, 6, 6, 0, 0, 0, 7, 7, 7, 0, 5]"
139,can't you just put i'm still me into my morning playlist,0,"[6, 6, 6, 0, 7, 7, 7, 0, 0, 5, 0]"
140,can you add the song pixel galaxy to my cleaning playlist,0,"[6, 6, 0, 0, 0, 7, 7, 0, 0, 5, 0]"
141,it would be nice if you could please add the song pixel galaxy to my old fashioned playlist,0,"[6, 6, 6, 6, 6, 6, 6, 6, 0, 0, 0, 7, 7, 0, 0, 5, 5, 0]"
142,will you please add the song toss a coin to your witcher to my cleaning playlist,0,"[6, 6, 6, 0, 0, 0, 7, 7, 7, 7, 7, 7, 0, 0, 5, 0]"
143,can you put undyne the undying into my favorites playlist,0,"[6, 6, 0, 7, 7, 7, 0, 0, 5, 0]"
144,for goodness sake just add the song mirror temple jazz cover to my game time playlist,0,"[6, 6, 6, 6, 0, 0, 0, 7, 7, 7, 7, 0, 0, 5, 5, 0]"
145,will you please add the song rainbow road to my cleaning playlist,0,"[6, 6, 6, 0, 0, 0, 7, 7, 0, 0, 5, 0]"
146,can you put the song the queen's gambit into game time,0,"[6, 6, 0, 0, 0, 7, 7, 7, 0, 5, 5]"
147,for goodness sake just put raise your blades into my songs about space playlist,0,"[6, 6, 6, 6, 0, 7, 7, 7, 0, 0, 5, 5, 5, 0]"
148,it would be nice if you could please put the song raise your blades into peaceful,0,"[6, 6, 6, 6, 6, 6, 6, 6, 0, 0, 0, 7, 7, 7, 0, 5]"
149,would you please put the song duck tails into beat saber,0,"[6, 6, 6, 0, 0, 0, 7, 7, 0, 5, 5]"
150,for goodness sake just put the song the queen's gambit into aesthetic,0,"[6, 6, 6, 6, 0, 0, 0, 7, 7, 7, 0, 5]"
151,can you put i secretly love u into my aesthetic playlist,0,"[6, 6, 0, 7, 7, 7, 7, 0, 0, 5, 0]"
152,can you put sweden minecraft cover into my best songs playlist,0,"[6, 6, 0, 7, 7, 7, 0, 0, 5, 5, 0]"
153,i really want you to add this to my video game soundtracks playlist,0,"[6, 6, 6, 6, 6, 0, 0, 0, 0, 5, 5, 5, 0]"
154,it would be nice if you could please add this to my dance playlist,0,"[6, 6, 6, 6, 6, 6, 6, 6, 0, 0, 0, 0, 5, 0]"
155,will you please add i'm still me to my playlist,0,"[6, 6, 6, 0, 7, 7, 7, 0, 0, 0]"
156,"it would be nice if you could please add the song we've never met but, can we have a coffee or something? to my old fashioned playlist",0,"[6, 6, 6, 6, 6, 6, 6, 6, 0, 0, 0, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 0, 0, 5, 5, 0]"
157,it would be nice if you could please put isabella's lullaby orchestral cover into my workout playlist,0,"[6, 6, 6, 6, 6, 6, 6, 6, 0, 7, 7, 7, 7, 0, 0, 5, 0]"
158,can't you just put i'm still me into my old fashioned playlist,0,"[6, 6, 6, 0, 7, 7, 7, 0, 0, 5, 5, 0]"
159,please add the song isabella's lullaby orchestral cover to my morning playlist,0,"[6, 0, 0, 0, 7, 7, 7, 7, 0, 0, 5, 0]"
160,will you please put journy piano cover into my movie soundtracks playlist,0,"[6, 6, 6, 0, 7, 7, 7, 0, 0, 5, 5, 0]"
161,please put the song pixel galaxy into random good songs,0,"[6, 0, 0, 0, 7, 7, 0, 5, 5, 5]"
162,it would be nice if you could please put silksong piano cover into my best songs playlist,0,"[6, 6, 6, 6, 6, 6, 6, 6, 0, 7, 7, 7, 0, 0, 5, 5, 0]"
163,it would be nice if you could please add the song hopes and dreams to my peaceful playlist,0,"[6, 6, 6, 6, 6, 6, 6, 6, 0, 0, 0, 7, 7, 7, 0, 0, 5, 0]"
164,can't you just add the song the queen's gambit to my morning playlist,0,"[6, 6, 6, 0, 0, 0, 7, 7, 7, 0, 0, 5, 0]"
165,can't you just put the song rainbow road into aesthetic,0,"[6, 6, 6, 0, 0, 0, 7, 7, 0, 5]"
166,i really want you to put the song you saw it coming into night,0,"[6, 6, 6, 6, 6, 0, 0, 0, 7, 7, 7, 7, 0, 5]"
167,i really want you to put megalovania into my work playlist,0,"[6, 6, 6, 6, 6, 0, 7, 0, 0, 5, 0]"
168,please put isabella's lullaby orchestral cover into my aesthetic playlist,0,"[6, 0, 7, 7, 7, 7, 0, 0, 5, 0]"
169,add the song rainbow road to my relaxing playlist,0,"[0, 0, 0, 7, 7, 0, 0, 5, 0]"
170,will you please add the song raise your blades to my random good songs playlist,0,"[6, 6, 6, 0, 0, 0, 7, 7, 7, 0, 0, 5, 5, 5, 0]"
171,can't you just put silksong piano cover into my game time playlist,0,"[6, 6, 6, 0, 7, 7, 7, 0, 0, 5, 5, 0]"
172,i really want you to put how to train your dragon main theme into my beat saber playlist,0,"[6, 6, 6, 6, 6, 0, 7, 7, 7, 7, 7, 7, 7, 0, 0, 5, 5, 0]"
173,can't you just put rainbow road into my night playlist,0,"[6, 6, 6, 0, 7, 7, 0, 0, 5, 0]"
174,would you please put i'm still me into my game time playlist,0,"[6, 6, 6, 0, 7, 7, 7, 0, 0, 5, 5, 0]"
175,it would be nice if you could please put rainbow road into my tks playlist,0,"[6, 6, 6, 6, 6, 6, 6, 6, 0, 7, 7, 0, 0, 5, 0]"
176,can you put the song raise your blades into night,0,"[6, 6, 0, 0, 0, 7, 7, 7, 0, 5]"
177,"i really want you to put we've never met but, can we have a coffee or something? into my work playlist",0,"[6, 6, 6, 6, 6, 0, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 0, 0, 5, 0]"
178,i really want you to put the song rainbow road into cleaning,0,"[6, 6, 6, 6, 6, 0, 0, 0, 7, 7, 0, 5]"
179,can't you just put rainbow road into my night playlist,0,"[6, 6, 6, 0, 7, 7, 0, 0, 5, 0]"
180,can you put hopes and dreams into my work playlist,0,"[6, 6, 0, 7, 7, 7, 0, 0, 5, 0]"
181,would you please put the song duck tails into random good songs,0,"[6, 6, 6, 0, 0, 0, 7, 7, 0, 5, 5, 5]"
182,please put duck tails into my natural playlist,0,"[6, 0, 7, 7, 0, 0, 5, 0]"
183,can you put how to train your dragon main theme into my dance playlist,0,"[6, 6, 0, 7, 7, 7, 7, 7, 7, 7, 0, 0, 5, 0]"
184,i really want you to put the song silksong piano cover into dance,0,"[6, 6, 6, 6, 6, 0, 0, 0, 7, 7, 7, 0, 5]"
185,it would be nice if you could please put undyne the undying into my songs about space playlist,0,"[6, 6, 6, 6, 6, 6, 6, 6, 0, 7, 7, 7, 0, 0, 5, 5, 5, 0]"
186,can you add the song the superb mario melody to my cleaning playlist,0,"[6, 6, 0, 0, 0, 7, 7, 7, 7, 0, 0, 5, 0]"
187,for goodness sake just put the song megalovania into relaxing,0,"[6, 6, 6, 6, 0, 0, 0, 7, 0, 5]"
188,would you please put the song passion into morning,0,"[6, 6, 6, 0, 0, 0, 7, 0, 5]"
189,can you add this to my best songs playlist,0,"[6, 6, 0, 0, 0, 0, 5, 5, 0]"
190,it would be nice if you could please add this to my old fashioned playlist,0,"[6, 6, 6, 6, 6, 6, 6, 6, 0, 0, 0, 0, 5, 5, 0]"
191,it would be nice if you could please add this to my night playlist,0,"[6, 6, 6, 6, 6, 6, 6, 6, 0, 0, 0, 0, 5, 0]"
192,would you please put the song the queen's gambit into aesthetic,0,"[6, 6, 6, 0, 0, 0, 7, 7, 7, 0, 5]"
193,it'd be great if you could put the song silksong piano cover into video game soundtracks,0,"[6, 6, 6, 6, 6, 6, 0, 0, 0, 7, 7, 7, 0, 5, 5, 5]"
194,would you please put toss a coin to your witcher into my songs about space playlist,0,"[6, 6, 6, 0, 7, 7, 7, 7, 7, 7, 0, 0, 5, 5, 5, 0]"
195,will you please put i'm still me into my relaxing playlist,0,"[6, 6, 6, 0, 7, 7, 7, 0, 0, 5, 0]"
196,i really want you to put passion into my old fashioned playlist,0,"[6, 6, 6, 6, 6, 0, 7, 0, 0, 5, 5, 0]"
197,will you please add the song duck tails to my workout playlist,0,"[6, 6, 6, 0, 0, 0, 7, 7, 0, 0, 5, 0]"
198,i really want you to put the song you saw it coming into aesthetic,0,"[6, 6, 6, 6, 6, 0, 0, 0, 7, 7, 7, 7, 0, 5]"
199,for goodness sake just put mirror temple jazz cover into my old fashioned playlist,0,"[6, 6, 6, 6, 0, 7, 7, 7, 7, 0, 0, 5, 5, 0]"
200,i really want you to add the song i'm still me to my favorites playlist,0,"[6, 6, 6, 6, 6, 0, 0, 0, 7, 7, 7, 0, 0, 5, 0]"
201,please put i secretly love u into my natural playlist,0,"[6, 0, 7, 7, 7, 7, 0, 0, 5, 0]"
202,can't you just put the song the superb mario melody into tks,0,"[6, 6, 6, 0, 0, 0, 7, 7, 7, 7, 0, 5]"
203,would you please put the song mirror temple jazz cover into peaceful,0,"[6, 6, 6, 0, 0, 0, 7, 7, 7, 7, 0, 5]"
